fish,genotype,time
1,wt,0
2,wt,21
3,wt,22
4,wt,28
5,wt,60
6,wt,80
7,wt,99
8,wt,101
9,wt,106
10,wt,129
11,wt,168
12,Spd,96
13,Spd,97
14,Spd,100
15,Spd,127
16,Spd,128
17,Spd,156
18,Spd,162
19,Spd,170
20,Spd,190
21,Spd,195
